Movie;MMAstring2;idimdb;Writers;Runtime;Filming_locations;Poster 1;Plot_simple;Actors;Directors;IMDBurl;Genres;Rating;Year;Distributor;Gross;Release
Confidence;;tt0310910;Doug Jung;97 min;Deep Nightclub - 1707 N. Vine Street, Hollywood, Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/310/910.jpg!cover?_upt=8b68fc681383794690;Jake Vig (Burns) is a consummate grifter about to pull his biggest con yet, one set to avenge his friend's murder. But his last scam backfired, leaving him indebted to a mob boss (Hoffman) and his enforcer.;Edward Burns,Rachel Weisz,Morris Chestnut,Leland Orser,Louis Lombardi,Paul Giamatti,Brian Van Holt,Donal Logue,Luis Guzmán,April O'Brien,Jay Giannone,Tommy 'Tiny' Lister,Franky G,Dustin Hoffman,Melissa Lawner;James Foley;http://www.imdb.com/title/tt0310910/;Crime,Thriller;6.7;2003;;90203;09-25-2003
Dirty Pretty Things;;tt0301199;Steven Knight;97 min;London, England, UK;http://imdb-poster.b0.upaiyun.com/000/301/199.jpg!cover?_upt=80dd3bc41383794690;An illegal Nigerian immigrant discovers the unpalatable side of London life.;Audrey Tautou,Chiwetel Ejiofor,Sergi López,Sophie Okonedo,Benedict Wong,Kenan Hudaverdi,Damon Younger,Paul Bhattacharjee,Darrell D'Silva,Sotigui Kouyaté,Abi Gouhad,Yemi Ajibade,Barber Ali,Josef Altin,Fisun Burgess;Stephen Frears;http://www.imdb.com/title/tt0301199/;Crime,Drama,Thriller;7.4;2003;;84729;08-21-2003
Punch-Drunk Love;;tt0272338;Paul Thomas Anderson;95 min;Le Petit Chateau - 4615 Lankershim Blvd, North Hollywood, Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/272/338.jpg!cover?_upt=3e0e08ef1383794691;A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding.;Adam Sandler,Jason Andrews,Don McManus,Emily Watson,Luis Guzmán,David Schrempf,Seann Conway,Rico Bueno,Hazel Mailloux,Karen Kilgariff,Julie Hermelin,Salvador Curiel,Jorge Barahona,Ernesto Quintero,Julius Steuer;Paul Thomas Anderson;http://www.imdb.com/title/tt0272338/;Comedy,Drama,Romance;7.3;2003;;84182;03-21-2003
Soy tu aventura;;tt0361006;Guillermo Hough,Néstor Montalbano;110 min;Buenos Aires, Federal District, Argentina;;;Diego Capusotto,Luis Luque,Luis Aguilé,Verónica Llinás,María Fiorentino,Laura Fidalgo,Clencio Batista,Jorge Marrale,Maira Grillén,Oscar Avelino,Walter Balzarini,Fabio Alberti,Jorge Abitante,Legendario Aguerrido,Antonio Anunziata;Néstor Montalbano,Carola Poceiro;http://www.imdb.com/title/tt0361006/;Comedy,Musical;6.1;2003;;84164;10-16-2003
Narc;;tt0272207;Joe Carnahan;105 min;Detroit, Michigan, USA;http://imdb-poster.b0.upaiyun.com/000/272/207.jpg!cover?_upt=67b998661383794691;When the trail goes cold on a murder investigation of a policeman an undercover narcotics officer is lured back to the force to help solve the case.;Dan Leis,Jason Patric,Lloyd Adams,Meagan Issa,Lina Giornofelice,Alan C. Peterson,Karen Robinson,Chi McBride,Booth Savage,Alan Van Sprang,Gavyn Donaldson,Myles Donaldson,Krista Bridges,Ray Liotta,Thomas Patrice;Joe Carnahan;http://www.imdb.com/title/tt0272207/;Crime,Drama,Thriller;7.2;2003;;80343;08-07-2003
Divine Intervention (Yadon ilaheyya);;tt0870105;Van Elder;100 min;Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/870/105.jpg!cover?_upt=f126154f1383794692;Reverend Robert Gibbs is a young, hip pastor who temporarily takes over the helm of a Fundamentalist Baptist church while his predecessor Reverend Matthews recovers from a stroke. While ...;Jazsmin Lewis,Wesley Jonathan,Laz Alonso,Roz Ryan,Carl Gilliard,Cynda Williams,Reynaldo Rey,James Avery,Shang Forbes,Jack Chandler,Lisa Dewitt,Van Elder,Eboni Renée Jackson,Kyra Locke,Luenell;Van Elder;http://www.imdb.com/title/tt0870105/;Comedy,Drama,Romance;3.1;2003;;79057;06-26-2003
Elf;;tt0319343;David Berenbaum;97 min;New York City, New York, USA;http://imdb-poster.b0.upaiyun.com/000/319/343.jpg!cover?_upt=c6e6b2fe1383794693;After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity.;Will Ferrell,James Caan,Bob Newhart,Edward Asner,Mary Steenburgen,Zooey Deschanel,Daniel Tay,Faizon Love,Peter Dinklage,Amy Sedaris,Michael Lerner,Andy Richter,Kyle Gass,Artie Lange,Leon Redbone;Jon Favreau;http://www.imdb.com/title/tt0319343/;Comedy,Family,Fantasy,Romance;6.8;2003;;78368;12-11-2003
The Wild Thornberrys;;tt0167743;;30 min (90 episodes);Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/167/743.jpg!cover?_upt=b40837d31383794694;Eliza Thornberry is not your ordinary kid. It's not just because she travels the world in an RV with her parents Nigel and Marrianne, famous nature show hosts. Eliza is doubly unique ...;Lacey Chabert,Jodi Carlisle,Tim Curry,Danielle Harris,Tom Kane,Flea;;http://www.imdb.com/title/tt0167743/;Animation,Adventure,Comedy,Family,Fantasy;6.6;2003;;78049;01-24-2003
Ararat;;tt0273435;Atom Egoyan;115 min;Calgary, Alberta, Canada;http://imdb-poster.b0.upaiyun.com/000/273/435.jpg!cover?_upt=39a430b61383794694;Interrogated by a customs officer, a young man recounts how his life was changed during the making of a film about the Armenian genocide claims.;Simon Abkarian,Charles Aznavour,Christopher Plummer,Arsinée Khanjian,Setta Keshishian,David Alpay,Shant Srabian,Marie-Josée Croze,Elias Koteas,Brent Carver,Max Morrow,Christie MacFadyen,Dawn Roach,Garen Boyajian,Lousnak Abdalian;Atom Egoyan;http://www.imdb.com/title/tt0273435/;Drama,War;6.6;2003;;70952;05-29-2003
The Life of David Gale;;tt0289992;Charles Randolph;130 min;Austin Studios - 1901 E. 51st Street, Austin, Texas, USA;http://imdb-poster.b0.upaiyun.com/000/289/992.jpg!cover?_upt=ee5b6b4d1383794695;A man against capital punishment is accused of murdering a fellow activist and is sent to death row.;Kate Winslet,Cleo King,Constance Jones,Kevin Spacey,Laura Linney,Lee Ritchey,Gabriel Mann,Matt Craven,Brandy Little,Cindy Waite,Jim Beaver,Leon Rippy,Jesse De Luna,Vernon Grote,Rhona Mitra;Alan Parker;http://www.imdb.com/title/tt0289992/;Drama,Crime,Thriller;7.4;2003;;69819;10-23-2003
Irreversible;;tt0290673;Gaspar Noé;97 min,99 min;Buttes Chaumont, Paris 19, Paris, France;http://imdb-poster.b0.upaiyun.com/000/290/673.jpg!cover?_upt=420b88d71383794695;Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass.;Monica Bellucci,Vincent Cassel,Albert Dupontel,Jo Prestia,Philippe Nahon,Stéphane Drouot,Jean-Louis Costes,Michel Gondoin,Mourad Khima,Hellal,Nato,Fesche,Jara-Millo,Le Quellec,Giami;Gaspar Noé;http://www.imdb.com/title/tt0290673/;Crime,Drama,Mystery,Thriller;7.3;2003;;65393;05-01-2003
Zus & Zo;;tt0245157;Paula van der Oest;106 min;Amsterdam, Noord-Holland, Netherlands;http://imdb-poster.b0.upaiyun.com/000/245/157.jpg!cover?_upt=e7c64b2c1383794696;"Zus &amp; Zo shows what three sisters are willing to do to stop their would-be sister-in-law from coming into possession of Paraíso, their beloved family summer home on the Portuguese coast.";Sylvia Poorta,Anneke Blok,Monic Hendrickx,Jacob Derwig,Halina Reijn,Jaap Spijkers,Theu Boermans,Antje Boermans,Pieter Embrechts,Annet Nieuwenhuyzen,Jorge Do Collo,Mike Reus,Marisa Van Eyle,Tijn Docter,Harpert Michielsen;Paula van der Oest;http://www.imdb.com/title/tt0245157/;Comedy,Fantasy,Romance;6.2;2003;;64758;09-04-2003
Johnny English;;tt0274166;Neal Purvis,Robert Wade;88 min;Abingdon Street Car Park, Westminster, London, England, UK;http://imdb-poster.b0.upaiyun.com/000/274/166.jpg!cover?_upt=6cb393f11383794697;After a sudden attack on the MI5, Johnny English, Britain's most confident yet unintelligent spy, becomes Britain's only spy.;Rowan Atkinson,Tasha de Vasconcelos,Ben Miller,Greg Wise,Douglas McFerran,Steve Nicolson,Terence Harvey,Kevin McNally,Tim Pigott-Smith,Nina Young,Rowland Davies,Natalie Imbruglia,Philippa Fordham,John Malkovich,Tim Berrington;Peter Howitt;http://www.imdb.com/title/tt0274166/;Action,Adventure,Comedy;5.9;2003;;63534;05-08-2003
The Curse of the Jade Scorpion;;tt0256524;Woody Allen;103 min;Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/256/524.jpg!cover?_upt=97505b1a1383794698;An insurance investigator and an efficency expert who hate each other are both hypnotized by a crooked hypnotist with a jade scorpion into stealing jewels.;John Tormey,John Schuck,Woody Allen,Elizabeth Berkley,Kaili Vernoff,Brian Markinson,Maurice Sonnenberg,John Doumanian,Peter Gerety,Helen Hunt,Kevin Cahoon,Philip Levy,Wallace Shawn,Dan Aykroyd,Vince Giordano;Woody Allen;http://www.imdb.com/title/tt0256524/;Comedy,Crime,Mystery;6.6;2003;;61722;03-14-2003
Musime si pomahat (Divided We Fall);;tt0234288;Jan Hrebejk,Petr Jarchovský;120 min;Jaromer, Czech Republic;http://imdb-poster.b0.upaiyun.com/000/234/288.jpg!cover?_upt=ddfe666a1383794699;In Nazi occupied Czechoslovakia, a childless couple agree to hide a Jewish friend at great personal risk of discovery and execution.;Bolek Polívka,Anna Sisková,Csongor Kassai,Jaroslav Dusek,Martin Huba,Jirí Pecha,Simona Stasová,Vladimir Marek,Richard Tesarík,Karel Hermánek,Otto Sevcík,Jirí Kodet,Petr Knotek,Helena Neuwirthová,Nelly Kocarjan;Jan Hrebejk;http://www.imdb.com/title/tt0234288/;Comedy,Drama,War;7.6;2003;;59906;05-08-2003
The Good Thief;;tt0281820;Auguste Le Breton,Jean-Pierre Melville;108 min;Le Bar-sur-Loup, Alpes-Maritimes, France;http://imdb-poster.b0.upaiyun.com/000/281/820.jpg!cover?_upt=d19bf30a1383794699;An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.;Nutsa Kukhianidze,Ouassini Embarek,Marc Lavoine,Nick Nolte,Tchéky Karyo,Gérard Darmon,Saïd Taghmaoui,Patricia Kell,Julien Maurel,Emir Kusturica,Roland Munter,Warren Zavatta,Théo Trifard,Sarah Bridges,Nicolas Dromard;Neil Jordan;http://www.imdb.com/title/tt0281820/;Crime,Drama,Thriller;6.5;2003;;59507;10-30-2003
Dumb and Dumberer: When Harry Met Lloyd;;tt0329028;Peter Farrelly,Bennett Yellin;85 min;Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/329/028.jpg!cover?_upt=773adb901383794700;Set back in the 80s when Harry met Lloyd in high school where they cross paths with a mean principal and a bunch of other outcasts much like themselves.;Timothy Stack,Mimi Rogers,Wayne Federman,Lucas Gregory,Derek Richardson,Eric Christian Olsen,Luis Guzmán,Rachel Nichols,Elden Henson,Eugene Levy,Cheri Oteri,Holly Towne,Josh Braaten,Vahe Manoukian,William Lee Scott;Troy Miller;http://www.imdb.com/title/tt0329028/;Comedy;3.3;2003;;58215;12-04-2003
